0,1,2,3,4,5,6,7,8,9,10
序号,技术要求,,检验结果,,,,,备注,,
,"速度
(km/h)","制动压力
(kN)","平均摩擦
系数","制动时
间 (s)","制动距
离(m)","初始温
度(℃)","最高平均
温度(℃)",,,
1,50,23,0.408,12,75,49,67,干式制动,,
2,80,23,0.383,22.1,237,60,101,,,
3,120,23,0.374,35.7,588,60,157,,,
4,160,23,0.376,49.1,1073,60,209,,,
5,200,23,0.381,61.8,1687,60,260,,,
6,250,23,0.383,78.4,2675,59,348,,,
7,120,14,0.379,60.5,1015,60,131,,,
8,160,14,0.402,78.4,1726,60,178,,,
9,200,14,0.416,96.9,2631,58,232,,,
10,250,14,0.426,120.1,4076,59,319,,,
11,120,32,0.362,26.4,414,60,150,,,
12,160,32,0.367,35.4,758,60,216,,,
13,200,32,0.372,44.6,1198,60,267,,,
14,250,32,0.364,57.7,1962,59,355,,,
15,120,32,0.365,25.9,408,60,150,,,
16,160,32,0.371,35,745,60,217,,,
17,200,32,0.372,44.6,1195,60,265,,,
18,250,32,0.367,57.5,1947,59,352,,,
19,50,23,0.397,12.5,76,59,75,,,
20,80,23,0.379,22.4,239,60,98,,,
21,120,23,0.380,35.3,574,60,139,,,
22,160,23,0.387,47.8,1035,60,189,,,
23,200,23,0.396,60,1614,60,251,,,
24,250,23,0.392,76.8,2604,59,335,,,
25,120,14,0.383,59.5,997,59,128,,,
26,160,14,0.416,75.4,1656,60,176,,,
27,200,14,0.424,94.5,2580,59,229,,,
28,250,14,0.428,119.7,4055,58,304,,,
29,120,32,0.348,27.3,429,60,159,,,
30,160,32,0.364,35.7,764,60,225,,,
31,200,32,0.374,44.3,1191,60,302,,,
32,250,32,0.372,56.9,1920,59,353,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
制动盘,,,,,,铸钢轴装制动盘：φ640×80mm,,,,
盘载荷,,,,5.7t,,摩擦半径,247mm（燕尾I型）/ 251mm（非燕尾型）,,,
轮径,,,,,,920mm,,,,
制动次序,,,速度 v,,"双侧闸片压力F
B",初始温度,说明,,,
,,,km/h,,kN,℃,,,,
R1 - Rx,,,120,,32,20-100,"进行 x 次磨合制动，使闸片与制动盘贴合
面积超过85%
磨合完成后，制动盘和闸片拍照、闸片称重",,,
1,,19,50,,23,50-60,冷却后，进行干燥条件下的停车制动,,,
2,,20,80,,23,50-60,,,,
3,,21,120,,23,50-60,,,,
4,,22,160,,23,50-60,,,,
5,,23,200,,23,50-60,,,,
6,,24,250,,23,50-60,,,,
7,,25,120,,14,50-60,冷却后，进行干燥条件下的停车制动,,,
8,,26,160,,14,50-60,,,,
9,,27,200,,14,50-60,,,,
10,,28,250,,14,50-60,,,,
11,15,29,120,,32,50-60,冷却后，进行干燥条件下的停车制动,,,
12,16,30,160,,32,50-60,,,,
13,17,31,200,,32,50-60,,,,
14,18,32,250,,32,50-60,,,,
33-37,,,120,,32,90-100,"闸片状态恢复
冷却后，进行干燥条件下的停车制动",,,
38-42,,,-,,63,90-120,"温度降至120℃以下时，开始进行高温下
的静摩擦试验，取5次静摩擦系数的算术
平均值作为测试结果",,,
43-47,,,-,,63,50-60,,取5次静摩擦系数的算术平均值作为测试,,
,,,,,,,,结果,,
,,,,,,,,第47次制动完成后闸片拍照、称重,,
48,,57,50,,23,20-30,"冷却后，进行潮湿条件下的停车制动，喷
水量：25L/h",,,
49,,58,80,,23,20-30,,,,
50,,59,120,,23,20-30,,,,
51,,60,160,,23,20-30,,,,
52,,61,200,,23,20-30,,,,
53,,62,120,,14,20-30,,,,
54,,63,120,,32,20-30,,,,
55,,64,160,,32,20-30,,,,
56,,65,200,,32,20-30,,,,
66-75,,,120,32,50-60,"闸片状态恢复
冷却后，进行干燥条件下的停车制动，第
75次制动完成后闸片称重",,,,
,76,,80,-,20-60,"以30kW持续制动20分钟，持续制动后不
用冷却，立即进行干燥条件下的停车制动.",,,,
,77,,80,32,-,,,,,
78-87,,,120,32,50-60,"闸片状态恢复
冷却后，进行干燥条件下的停车制动，第
87次制动完成后闸片称重",,,,
88,91,94,200,23,50-60,冷却后，进行干燥条件下的停车制动,,,,
89,92,95,200,14,50-60,,,,,
90,93,96,200,32,50-60,,,,,
97,100,103,250,23,50-60,冷却后，进行干燥条件下的停车制动,,,,
98,101,104,250,14,50-60,,,,,
99,102,105,250,32,50-60,,,,,
106,109,112,300,32,50-60,冷却后，进行干燥条件下的停车制动,,,,
107,110,113,300,23,50-60,,,,,
108,111,114,300,32,50-60,,,,,
115,118,121,350,"F /F
B1 B2
18/32",50-60,冷却后，进行干燥条件下的停车制动,,,,
116,119,122,350,"F /F
B1 B2
14/23",50-60,,,,,
117,120,123,350,"F /F
B1 B2
18/32",50-60,,,,,
,124,,350,"F /F
B1 B2
18/32",-,"连续两次停车制动试验，在第123次制动
结束后立即以0.16m/s2加速到目标速度，
然后施加第124次制动。第124次制动完
成后制动盘和闸片拍照、闸片称重",,,,
125,126,127,380,"F /F
B1 B2
18/32",50-60,"冷却后，进行干燥条件下的停车制动
第127次制动完成后制动盘和闸片拍照、
闸片称重",,,,
"a) 双侧闸片压力F 分级：制动过程中瞬时速度v大于300km/h时为F ，从300km/h到0为F ；
B B1 B2
b) 试验应采用新闸片，以第1次至第127次制动的闸片减重量计算闸片平均磨耗量；
c) 第125次至第127次制动不考核摩擦系数。",,,,,,,,,,
