,"Fb_set
[kN]","v_set
[km/h]",μ_m,"Ta_max
[°C]","Energy
[kJ]",braking_time
0,23.0,50,0.408,67,512,4.0
1,23.0,80,0.383,101,1350,12.0
2,23.0,120,0.374,157,3072,22.1
3,23.0,160,0.376,209,5486,35.7
4,23.0,200,0.381,260,8599,49.1
5,23.0,250,0.383,348,13486,61.8
6,14.0,120,0.379,131,3101,78.4
7,14.0,160,0.402,178,5520,60.5
8,14.0,200,0.416,232,8638,78.4
9,14.0,250,0.426,319,13535,96.9
10,32.0,120,0.362,150,3054,120.1
11,32.0,160,0.367,216,5458,26.4
12,32.0,200,0.372,267,8563,35.4
13,32.0,250,0.364,355,13440,44.6
14,32.0,120,0.365,150,3052,57.7
15,32.0,160,0.371,217,5455,25.9
16,32.0,200,0.372,265,8560,35.0
17,32.0,250,0.367,352,13432,44.6
18,23.0,50,0.397,75,520,57.5
19,23.0,80,0.379,98,1349,12.5
20,23.0,120,0.38,139,3074,22.4
21,23.0,160,0.387,189,5489,35.3
22,23.0,200,0.396,251,8601,47.8
23,23.0,250,0.392,335,13485,60.0
24,14.0,120,0.383,128,3100,76.8
